cycle,mode,width,stage,alive_tasks,rss_kib,sockets,requests,handshakes,drain,active_cp,cp_calls
0,distinct,128,idle,2,4976,0,0,0,0,0,0
0,distinct,128,held_observed_max,421,16752,64,64,0,0,64,64
0,distinct,128,quiescent,2,16992,0,0,0,0,0,64
0,same,384,idle,2,17008,0,0,0,0,0,64
0,same,384,held_observed_max,857,29184,256,256,0,0,1,1
0,same,384,quiescent,2,29200,0,0,0,0,0,1
0,cancel,128,idle,2,29200,0,0,0,0,0,1
0,cancel,128,held_observed_max,509,29296,64,64,0,0,64,64
0,cancel,128,quiescent,2,29312,0,0,0,0,0,64
0,recovery,128,idle,2,29312,0,0,0,0,0,64
0,recovery,128,held_observed_max,390,29312,64,64,0,0,64,64
0,recovery,128,quiescent,2,29328,0,0,0,0,0,64
1,distinct,128,idle,2,29328,0,0,0,0,0,64
1,distinct,128,held_observed_max,472,29328,64,64,0,0,64,64
1,distinct,128,quiescent,2,29328,0,0,0,0,0,64
1,same,384,idle,2,29328,0,0,0,0,0,64
1,same,384,held_observed_max,1003,29536,256,256,0,0,1,1
1,same,384,quiescent,2,29552,0,0,0,0,0,1
1,cancel,128,idle,2,29552,0,0,0,0,0,1
1,cancel,128,held_observed_max,428,29552,64,64,0,0,64,64
1,cancel,128,quiescent,2,29552,0,0,0,0,0,64
1,recovery,128,idle,2,29552,0,0,0,0,0,64
1,recovery,128,held_observed_max,322,29552,64,64,0,0,64,64
1,recovery,128,quiescent,2,29552,0,0,0,0,0,64
2,distinct,128,idle,2,29552,0,0,0,0,0,64
2,distinct,128,held_observed_max,322,29552,64,64,0,0,64,64
2,distinct,128,quiescent,2,29552,0,0,0,0,0,64
2,same,384,idle,2,29552,0,0,0,0,0,64
2,same,384,held_observed_max,867,30000,256,256,0,0,1,1
2,same,384,quiescent,2,30000,0,0,0,0,0,1
2,cancel,128,idle,2,30000,0,0,0,0,0,1
2,cancel,128,held_observed_max,322,30000,64,64,0,0,64,64
2,cancel,128,quiescent,2,30000,0,0,0,0,0,64
2,recovery,128,idle,2,30000,0,0,0,0,0,64
2,recovery,128,held_observed_max,492,30000,64,64,0,0,64,64
2,recovery,128,quiescent,2,30000,0,0,0,0,0,64
3,distinct,128,idle,2,30000,0,0,0,0,0,64
3,distinct,128,held_observed_max,322,30016,64,64,0,0,64,64
3,distinct,128,quiescent,2,30016,0,0,0,0,0,64
3,same,384,idle,2,30016,0,0,0,0,0,64
3,same,384,held_observed_max,1040,30320,256,256,0,0,1,1
3,same,384,quiescent,2,30320,0,0,0,0,0,1
3,cancel,128,idle,2,30320,0,0,0,0,0,1
3,cancel,128,held_observed_max,503,30320,64,64,0,0,64,64
3,cancel,128,quiescent,2,30320,0,0,0,0,0,64
3,recovery,128,idle,2,30320,0,0,0,0,0,64
3,recovery,128,held_observed_max,504,30352,64,64,0,0,64,64
